0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x018988A155D94DE1: Once a recording is completed, a disc will be placed in your Sim's inventory that can be played on higher-end televisions. You may rename the disc to help distinguish your unique videos. To organize your inventory, you can purchase a Data Disc Storage Tower, which can hold all of your discs for instant playback.	→	Once a recording is completed, a disc will be placed in your Sim's inventory that can be played on higher-end televisions. You may rename the disc to help distinguish your unique videos. To organise your inventory, you can purchase a Data Disc Storage Tower, which can hold all of your discs for instant playback.
0x018F9547946C1175: Celebrated furniture designer Aleckzandor Fleppe has captured lightning in a bottle once again with the Sheppult Dresser. This design was inspired by Fleppe’s favorite breed of dog, the East Norrington Sheppult, a lesser-known breed that typically has a fat body, tiny legs, and smells like varnish. Treat your clothes to the Sheppult Dresser – they won’t be disappointed!	→	Celebrated furniture designer Aleckzandor Fleppe has captured lightning in a bottle once again with the Sheppult Dresser. This design was inspired by Fleppe’s favourite breed of dog, the East Norrington Sheppult, a lesser-known breed that typically has a fat body, tiny legs, and smells like varnish. Treat your clothes to the Sheppult Dresser – they won’t be disappointed!
0x019071122BB6EA66: {0.SimFirstName} was leaving work and noticed something had fallen from the last cargo truck. It's a wad of cash!  Well, I'm sure no one will miss it.	→	{0.SimFirstName} was leaving work and noticed something had fallen from the last cargo lorry. It's a wad of cash! Well, I'm sure no one will miss it.
0x01A0ED34222E89F5: The plastic surgery went very well!  {0.SimName} is an exquisite work of art now!	→	The plastic surgery went very well! {0.SimName} is an exquisite work of art now!
0x01A3A23DF327D0A2: {0.SimFirstName} really likes the outdoors.  Thanks for all of the windows.	→	{0.SimFirstName} really likes the outdoors. Thanks for all of the windows.
0x01B210EE4FC5A035: Sims with a Good Sense of Humor tell the best jokes that never fall flat or fail to entertain.	→	Sims with a Good Sense of Humour tell the best jokes that never fall flat or fail to entertain.
0x01BC6279446DAE9A: So many questions about space and so little answers. Analyzing some space rocks may or may not answer  those questions, but at least your Sim will get to look at some neat rocks!	→	So many questions about space and so little answers. Analysing some space rocks may or may not answer those questions, but at least your Sim will get to look at some neat rocks!
0x01BD7FA70EE71540: Palladium is a platinum metal, along with other metals such as ruthenium, osmium, rhodium, and fan favorite iridium.	→	Palladium is a platinum metal, along with other metals such as ruthenium, osmium, rhodium, and fan favourite iridium.
0x01DCDCCE5C4FB8A8: Cookie Damage	→	Biscuit Damage
0x01E682926C5D82D8: Can you help build a new room for my toddler?  It should have happy colors and all of the toys that a little crawling kid could ever want!	→	Can you help build a new room for my toddler? It should have happy colours and all of the toys that a little crawling kid could ever want!
0x01F26AD3F3976316: The carefully clasped brush of the artisan can paint images that incite the humorless to laugh and the inarticulate to eloquence. The addition of skills with the stringed guitar can make your Sim the envy of the community. Success isn’t a given, but is a reward that results from ingenuity and a touch of luck.	→	The carefully clasped brush of the artisan can paint images that incite the humourless to laugh and the inarticulate to eloquence. The addition of skills with the stringed guitar can make your Sim the envy of the community. Success isn’t a given, but is a reward that results from ingenuity and a touch of luck.
0x01FA73AB4717461B: {0.SimName} just swallowed some water.  It burned!	→	{0.SimName} just swallowed some water. It burned!
0x020D2647164C3CCD: The Mad Scientist's Totally Safe and Harmless Institute of Inventive Creation and Learning would like to congratulate you, {0.SimName}, for pushing the boundaries of creative and tasteful inventing!  Please display this fine certificate made from space age polymers and inscribed with barely radioactive but never fading ink to show all what a world-renowned Inventor you are!	→	The Mad Scientist's Totally Safe and Harmless Institute of Inventive Creation and Learning would like to congratulate you, {0.SimName}, for pushing the boundaries of creative and tasteful inventing! Please display this fine certificate made from space age polymers and inscribed with barely radioactive but never fading ink to show all what a world-renowned Inventor you are!
0x022204D1A311EA4B: There's nothing left to dig for in this Junk Pile.  Try again later.	→	There's nothing left to dig for in this Junk Pile. Try again later.
0x02325003B7772077: Sims earn more for selling goods at local stores and Consignment Store.	→	Sims earn more for selling goods at local stores and Thrift Shop.
0x025F08FBFBDE8DC5: Impressive {0.String}!  You wowed that crowd!  Keep up the good work, and you'll master your craft in no time!	→	Impressive {0.String}! You wowed that crowd! Keep up the good work, and you'll master your craft in no time!
0x02698B7EADD05E0C: Rotated Squares Set: Center Square Bordered by a Larger Square	→	Rotated Squares Set: Centre Square Bordered by a Larger Square
0x026E037DEB546E0B: The theatre is perfect when you just want to sit beside your date, hold hands, and watch. Your Sim wants to ask someone on a date to the theatre!	→	The cinema is perfect when you just want to sit beside your date, hold hands, and watch. Your Sim wants to ask someone on a date to the cinema!
0x02995099D3467A87: From problems at the office, to inane small talk with a neighbor, the trials of life can be frustrating. You need a way to decompress. That’s what the Simmer Down Chair is all about. Its soothing frame is guaranteed to calm even your last frayed nerve.	→	From problems at the office, to inane small talk with a neighbour, the trials of life can be frustrating. You need a way to decompress. That’s what the Simmer Down Chair is all about. Its soothing frame is guaranteed to calm even your last frayed nerve.
0x02AADE0ADC9C9CFE: This fascinating dew is known to instantly overhaul a Sim’s appearance to something more…colorful. Your Sim can’t wait to use it on themself!	→	This fascinating dew is known to instantly overhaul a Sim’s appearance to something more…colourful. Your Sim can’t wait to use it on themself!
0x02BF8C7ACD80504B: The protest that {0.SimName} organized is losing momentum.	→	The protest that {0.SimName} organised is losing momentum.
0x02C833207D9B6A9E: Localization Project Managers	→	Localisation Project Managers
0x02CC55F263C43549: Challenge {0.SimName} to a game of Chess	→	Challenge {0.SimName} to a match of Chess
0x03226FE38A8BA50F: You don't want to go around calling your snake "Hey You, yea the one who looks like my favorite belt" all your life do you? I'm sure your pet doesn't want that to happen either! Your Sim wants to Name their Snake.	→	You don't want to go around calling your snake "Hey You, yea the one who looks like my favourite belt" all your life do you? I'm sure your pet doesn't want that to happen either! Your Sim wants to Name their Snake.
0x03337E46906A8B7A: {2.SimName} has just learned how to Sit!  {MA.He}{FA.She} will always remember the feeling of being praised for learning the trick in such a short amount of time.  A feeling that {MA.he}{FA.she} won’t forget about anytime soon. 	→	{2.SimName} has just learned how to Sit! {MA.He}{FA.She} will always remember the feeling of being praised for learning the trick in such a short amount of time. A feeling that {MA.he}{FA.she} won’t forget about anytime soon. 
0x03490EDEF5F696C8: {0.SimFirstName} is ready to jump into the frying pan of the culinary crafter, the kitchen specialist, the deliverer of delicacies! It’ll take a lot of time behind the stove and in front of a cook book, but {0.SimFirstName} will never be without company when everyone knows she can perfect their favorite foods.	→	{0.SimFirstName} is ready to jump into the frying pan of the culinary crafter, the kitchen specialist, the deliverer of delicacies! It’ll take a lot of time behind the stove and in front of a cook book, but {0.SimFirstName} will never be without company when everyone knows she can perfect their favourite foods.
0x036675D94055FE4A: With its cleat-proof upholstery and smudgeless windows, the Tofunda Wagon is the ideal family car. And whatever color you choose, rest assured your wagon will blend seamlessly into the sprawling suburban landscape you call home.	→	With its cleat-proof upholstery and smudgeless windows, the Tofunda Wagon is the ideal family car. And whatever colour you choose, rest assured your wagon will blend seamlessly into the sprawling suburban landscape you call home.
0x03672837EB2C12F0: Congratulations!  {0.SimName} has become a Chiselmeister and can now sculpt faster.	→	Congratulations! {0.SimName} has become a Chiselmeister and can now sculpt faster.
0x0370E62B5C76EB73: {0.SimName} has sculpted a Great {1.String} in {2.String}!  It is worth {3.Money}!  You can move or sell it in buy mode.	→	{0.SimName} has sculpted a Great {1.String} in {2.String}! It is worth {3.Money}! You can move or sell it in buy mode.
0x037BB5CD9B607AA7: Upgrade: Change Color	→	Upgrade: Change Colour
0x03BA3CFDBCC4D836: {0.SimFirstName} came across an almost exact replica of Stonehenge, except for large stone creature sleeping in the center of it. Wisely, {0.SimFirstName} decided to let it keep resting.	→	{0.SimFirstName} came across an almost exact replica of Stonehenge, except for large stone creature sleeping in the centre of it. Wisely, {0.SimFirstName} decided to let it keep resting.
0x03CE9CCF14F21509: Your Sim's wrist has that old itch and the hand keeps curling into the infamous “pen grip.” It’s time for Table Tennis and only a game with their favorite opponent will satisfy.	→	Your Sim's wrist has that old itch and the hand keeps curling into the infamous “pen grip.” It’s time for Table Tennis and only a match with their favourite opponent will satisfy.
0x03F1D4101C89DBF5: The act of giving a massage is hard work, but your Sim wants to give one as a labor of love or to help cure a backache!	→	The act of giving a massage is hard work, but your Sim wants to give one as a labour of love or to help cure a backache!
0x040E6263DE1A6683: Your recent actions at the hospital were those of a bona fide hero, {0.SimFirstName}! It is my honor to present you with the {1.String} in recognition of your great deeds! Display it proudly on the wall for all to see. We are also giving you a medal you can wear in recognition of your achievements. The citizens of {TownName} are in your debt.	→	Your recent actions at the hospital were those of a bona fide hero, {0.SimFirstName}! It is my honour to present you with the {1.String} in recognition of your great deeds! Display it proudly on the wall for all to see. We are also giving you a medal you can wear in recognition of your achievements. The citizens of {TownName} are in your debt.
0x040EEE2D3115AF47: Inertial Stabilizer	→	Inertial Stabiliser
0x0462B2EF68698035: Seeking shelter after being attacked by purple rock spitters, {0.SimFirstName} slips into a cave where {MA.he}{FA.she} finds an old man with a flowing grey beard. The mysterious old man gestures to two items lying at his feet. To the left lies a small bottle of liquid. To the right lies a sword. Knowing the danger that awaits {MA.him}{FA.her} outside, which item will {0.SimFirstName} choose?	→	Seeking shelter after being attacked by purple rock spitters, {0.SimFirstName} slips into a cave where {MA.he}{FA.she} finds an old lad with a flowing grey beard. The mysterious old man gestures to two items lying at his feet. To the left lies a small bottle of liquid. To the right lies a sword. Knowing the danger that awaits {MA.him}{FA.her} outside, which item will {0.SimFirstName} choose?
0x0462B3EF68698186: {0.SimFirstName} stumbles into a cavern with a large rainbow colored waterfall cascading down from the emptiness of space. Two frogs stand as tall as men guarding a bridge at the water's edge, spewing rainbow colored water from their mouths. The green frog will allow {0.SimFirstName} to pass if {MA.he}{FA.she} can swim up the waterfall and retrieve his cage of flies. The yellow frog will allow {0.SimFirstName} to pass if {MA.he}{FA.she} can solve the cosmic riddle. Which challenge does {0.SimFirstName} accept?	→	{0.SimFirstName} stumbles into a cavern with a large rainbow coloured waterfall cascading down from the emptiness of space. Two frogs stand as tall as men guarding a bridge at the water's edge, spewing rainbow coloured water from their mouths. The green frog will allow {0.SimFirstName} to pass if {MA.he}{FA.she} can swim up the waterfall and retrieve his cage of flies. The yellow frog will allow {0.SimFirstName} to pass if {MA.he}{FA.she} can solve the cosmic riddle. Which challenge does {0.SimFirstName} accept?
0x04729F670BC5B43A: Gardening catalog	→	Gardening catalogue
0x0473B2A24FAAFAB5: The Street Art Skill allows the neighborhood to be your Sim’s canvas. With a Street Art Kit in your inventory, you can create art on walls or ground. The more Street Art you make, the better your Sim will get!	→	The Street Art Skill allows the neighbourhood to be your Sim’s canvas. With a Street Art Kit in your inventory, you can create art on walls or ground. The more Street Art you make, the better your Sim will get!
0x0473B2A24FAAFAB6: There are two types of Street Art to make – tags and murals. Murals are more artistic and if your Sim gets to a high enough Street Art level, they could paint some masterpieces! Tags will let you graffiti your neighborhood. Be careful if you’re not on a home lot! The police might catch your tagging up the town!	→	There are two types of Street Art to make – tags and murals. Murals are more artistic and if your Sim gets to a high enough Street Art level, they could paint some masterpieces! Tags will let you graffiti your neighbourhood. Be careful if you’re not on a home lot! The police might catch your tagging up the town!
0x0473B2A24FAAFAB7: To create Street Art, click on the Street Art Kit from your inventory or lot and then choose your desired wall or ground Street Art type. An object will appear for you to place in the world to reserve your street art spot.  You can reserve multiple spots if you’d like. Ground art can only be placed on flat terrain and cannot intersect other objects. Wall art cannot intersect other objects or be placed on fences or on walls above foundations.	→	To create Street Art, click on the Street Art Kit from your inventory or lot and then choose your desired wall or ground Street Art type. An object will appear for you to place in the world to reserve your street art spot. You can reserve multiple spots if you’d like. Ground art can only be placed on flat terrain and cannot intersect other objects. Wall art cannot intersect other objects or be placed on fences or on walls above foundations.
0x0490E5507870D938: Mac And Cheese Box	→	Macaroni Cheese Box
0x04A7A2A6301CF89C: A Master Inventor has created {0.Number} Big Inventions.  As a reward, all Invention creation times and Scrap costs are reduced.  All Inventions are now “Master” Inventions with a higher value and Master Big Inventions will never fail!	→	A Master Inventor has created {0.Number} Big Inventions. As a reward, all Invention creation times and Scrap costs are reduced. All Inventions are now “Master” Inventions with a higher value and Master Big Inventions will never fail!
0x04B67C2D42056E76: A ruined column from the ruins of an ancient civilization.	→	A ruined column from the ruins of an ancient civilisation.
0x04BC36B6F3C7BC7D: Football	→	American football
0x04BC37B6F3C7BDC6: Soccer	→	Football
0x04DAC87402400605: Look for it in {0.SimFirstName}'s mailbox next time the mail is delivered.	→	Look for it in {0.SimFirstName}'s postbox next time the post is delivered.
0x053B9F67C2A611E8: The music pulsing from the inside of the theatre sounds awesome. Perhaps tickets are still available!	→	The music pulsing from the inside of the cinema sounds awesome. Perhaps tickets are still available!
0x053D7A065936AAA1: If you have created a Coat Color that you want to save, you can select the last tab next to Fur Shape and save your custom color there. Once saved you will see a thumbnail of your newly created coat color. To exit Advanced Mode select the bottom left hand corner. 	→	If you have created a Coat Colour that you want to save, you can select the last tab next to Fur Shape and save your custom colour there. Once saved you will see a thumbnail of your newly created coat colour. To exit Advanced Mode select the bottom left hand corner. 
0x053D7A065936AAA4: Start off with the Layers panel, the first tab on the right side. Layers will let you customize your pets' coats in an incremental way. You can add, copy, and remove layers until you get the coat color you desire. 	→	Start off with the Layers panel, the first tab on the right side. Layers will let you customise your pets' coats in an incremental way. You can add, copy, and remove layers until you get the coat colour you desire. 
0x053D7A065936AAA5: To help organize your layers, you can name, change the color, and move the layers up and down by selecting different points of the layer. Moving the layers will require some dragging, but it's a simple step in getting the right coat.	→	To help organise your layers, you can name, change the colour, and move the layers up and down by selecting different points of the layer. Moving the layers will require some dragging, but it's a simple step in getting the right coat.
0x05406770BAD2951F: With the defense grid enabled, we are safe... for now.	→	With the defence grid enabled, we are safe... for now.
0x055E063E342FF972: {0.SimFirstName}!  Thank you for blessing the world with your world-class nectar!  Take this {1.String} and stand with it forever on a pedestal above {TownName}.  You are a nectar genius!  Nay... you are our nectar genius!	→	{0.SimFirstName}! Thank you for blessing the world with your world-class nectar! Take this {1.String} and stand with it forever on a pedestal above {TownName}. You are a nectar genius! Nay... you are our nectar genius!
0x056137B4AC6E1654:  	→	
0x056137B4AC6E1655:  	→	
0x05A618B40302E4D7: Velasquez	→	Velásquez
0x05AEBE5A032B68EE: {0.SimFirstName} went back to see how they became a Ghost, but accidentally changed the events so they never became one!  {0.SimFirstName} is now alive again!	→	{0.SimFirstName} went back to see how they became a Ghost, but accidentally changed the events so they never became one! {0.SimFirstName} is now alive again!
0x05AECCE371F51799: Placing Neighborhood Landmarks	→	Placing Neighbourhood Landmarks
0x05B36BD33D79F178: A spook is terrorizing City Hall!	→	A spook is terrorising City Hall!
0x05C9C3F27573AB7A: A vignette is often added to an image to draw interest to a specific focal point and, in effect, frame the center portion of the photo. Your Sim wants to take a Vignette photo.	→	A vignette is often added to an image to draw interest to a specific focal point and, in effect, frame the centre portion of the photo. Your Sim wants to take a Vignette photo.
0x05D740FCCF8E2C09: Cookie	→	Biscuit
0x05D740FCCF8E2C0A: DD  	→	DD 
0x05E0D2DE1182EDB5: Stabilize with Paper Bag	→	Stabilise with Paper Bag
0x05EEF02B58C5E59D: Rose Colored Glasses	→	Rose Coloured Glasses
0x05F8D21D1B95DCDC: {0.SimFirstName} is Shy, which means {MA.he’ll}{FA.she’ll} not only prefer to socialize with Sims, but {MB.he’ll}{FB.she’ll} receive skill benefits from it as well. (Hover over any trait in the Simology Panel to see more benefits.)	→	{0.SimFirstName} is Shy, which means {MA.he’ll}{FA.she’ll} not only prefer to socialise with Sims, but {MB.he’ll}{FB.she’ll} receive skill benefits from it as well. (Hover over any trait in the Simology Panel to see more benefits.)
0x060067BCBEFBBB97: Outdoor Future Trashcan	→	Outdoor Future Waste Bin
0x062599D9B14CF2E2: Today, {0.SimFirstName} was given the honor of presenting the school's star student with a full scholarship. Nothing makes a teacher more proud than watching their students succeed! 	→	Today, {0.SimFirstName} was given the honour of presenting the school's star student with a full scholarship. Nothing makes a teacher more proud than watching their students succeed! 
0x06311C750773BB7D: Sleeping is one of pets' favorite pastimes. They love finding new and different places to sleep. Now, your pet wants to Sleep on something.	→	Sleeping is one of pets' favourite pastimes. They love finding new and different places to sleep. Now, your pet wants to Sleep on something.
0x0631EC14F65F276C: {2.SimName} just drank a perfect bottle of nectar. {MA.He}{FA.She} will always remember the subtle, yet complex, flavors of a well-aged nectar!	→	{2.SimName} just drank a perfect bottle of nectar. {MA.He}{FA.She} will always remember the subtle, yet complex, Flavours of a well-aged nectar!
0x064991A2FF0C46A0: You know that saying, dogs are a Sim's best friend? Not only do you believe it - that is the motto you live by. But why limit yourself to just one best friend. You want to befriend as many dogs as you can to not only show the world that dogs are a Sim's best friend, but how they are the most amazing animals in the entire world!  	→	You know that saying, dogs are a Sim's best friend? Not only do you believe it - that is the motto you live by. But why limit yourself to just one best friend. You want to befriend as many dogs as you can to not only show the world that dogs are a Sim's best friend, but how they are the most amazing animals in the entire world! 
0x0653C944EDB27DE3: How lame! You got rid of the shower! Your neighbors won’t be able to trust you with their things. You’ll need to pay for that... 	→	How lame! You got rid of the shower! Your neighbours won’t be able to trust you with their things. You’ll need to pay for that... 
0x0659AE825C1C5BE9: {0.SimFirstName}'s foreign visitors were not able to make it.  Try again later.	→	{0.SimFirstName}'s foreign visitors were not able to make it. Try again later.
0x065C72700BFA9A21: Some Sims like to be truly nasty towards their neighbors with a few insulting comments. Your Sim wants to point out someone's flaws.	→	Some Sims like to be truly nasty towards their neighbours with a few insulting comments. Your Sim wants to point out someone's flaws.
0x06634466F7B33FF2: The flavors of the nectar are so vibrant with fruits that the tongue is practically overwhelmed.	→	The flavours of the nectar are so vibrant with fruits that the tongue is practically overwhelmed.
0x066B775FC8F868CA: Interview Source at the Theatre.	→	Interview Source at the Cinema.
0x06824DC1B0A1D512: {0.SimFirstName} made it through with flying colors!  {0.SimFirstName}'s teammates are impressed and she wins some cash from the betting pool!	→	{0.SimFirstName} made it through with flying colours! {0.SimFirstName}'s teammates are impressed and she wins some cash from the betting pool!
0x0686C0B4A4748214: {0.SimFirstName} thought {MA.he}{FA.she} might look good with a little color, just not one of the colors of the rainbow! Who maintains these machines anyway?!	→	{0.SimFirstName} thought {MA.he}{FA.she} might look good with a little colour, just not one of the colours of the rainbow! Who maintains these machines anyway?!
0x069866BFD038265D: {0.SimFirstName} was leaving work and noticed something had fallen from the last cargo truck. It's a wad of cash!  Well, I'm sure no one will miss it.	→	{0.SimFirstName} was leaving work and noticed something had fallen from the last cargo lorry. It's a wad of cash! Well, I'm sure no one will miss it.
0x06BABC13EF43BF02: Having a unicorn around the house would be extremely useful and very fun!  Your Sim wants to Adopt a Unicorn.	→	Having a unicorn around the house would be extremely useful and very fun! Your Sim wants to Adopt a Unicorn.
0x06C704932ECACE46: Your dedication to the pursuit of wayward spirits is becoming the stuff of {TownName} legend. Even though you are a top ranked Ghost Hunter you continue to capture spirits in service to your community. The Paranormal Properties department at City Hall would like to thank you for your hard work and dedication and present you with a token of gratitude. The Mayor has decided to hold a special award ceremony in your honor at City Hall.	→	Your dedication to the pursuit of wayward spirits is becoming the stuff of {TownName} legend. Even though you are a top ranked Ghost Hunter you continue to capture spirits in service to your community. The Paranormal Properties department at City Hall would like to thank you for your hard work and dedication and present you with a token of gratitude. The Mayor has decided to hold a special award ceremony in your honour at City Hall.
0x06CA70D41F301D88: A large group of local musicians have pooled their resources to fund a guitar competition with a behemoth cash prize for the winner! Travel to the Theatre to compete before the competition ends. If you’re in a good enough mood and your guitar abilities are up to snuff, you just might take home that cash prize!	→	A large group of local musicians have pooled their resources to fund a guitar competition with a behemoth cash prize for the winner! Travel to the Cinema to compete before the competition ends. If you’re in a good enough mood and your guitar abilities are up to snuff, you just might take home that cash prize!
0x06E3DF34DC5F644F: {0.SimFirstName}'s team has lost the game with a score of {1.Number} to {2.Number}.	→	{0.SimFirstName}'s team has lost the match with a score of {1.Number} to {2.Number}.
0x06E79D530F76E0A0:  (Living)	→	(Living)
0x07101438204614E6: From Dutch ovens to dinner bells and every griddle in between, Chuck Wagon cabinets have the storage capacity good chefs need. Plus, their signature built-in grits rack and jerky compartments would make any Cookie jealous.	→	From Dutch ovens to dinner bells and every griddle in between, Chuck Wagon cabinets have the storage capacity good chefs need. Plus, their signature built-in grits rack and jerky compartments would make any biscuit jealous.
0x07165EDE74CAFBA1: Use Dry Watercolors	→	Use Dry Watercolours
0x0721C27501451160: The plant was full of life before you performed your magic. Now, the plant is wilting and withering before your eyes. The dark aura radiating from the plant can vouch for that!  	→	The plant was full of life before you performed your magic. Now, the plant is wilting and withering before your eyes. The dark aura radiating from the plant can vouch for that! 
0x0771F05B8935690C: {0.SimFirstName} managed to pick up all the extra mail before she left, and is carrying all of it.	→	{0.SimFirstName} managed to pick up all the extra post before she left, and is carrying all of it.
0x07747E3A0E9CD40D: {0.SimFirstName} has just become a Relic Collection Connoisseur.  From now on {0.SimFirstName} will recieve {1.Number}% more mood increase from the wondrous Collection moodlet.	→	{0.SimFirstName} has just become a Relic Collection Connoisseur. From now on {0.SimFirstName} will recieve {1.Number}% more mood increase from the wondrous Collection moodlet.
0x0789A596E1D2C6D0: Feeling the need to dig your claws into something, everything, or anything? Then this is the thing for you! Even though this Scratching Post isn't as fun as say scratching your Sim's favorite piece of furniture or their overly priced and paid for leopard-print area rug, you're content on scratching this post till your claws fall off! Your Cat wants to Scratch the Scratching Post.	→	Feeling the need to dig your claws into something, everything, or anything? Then this is the thing for you! Even though this Scratching Post isn't as fun as say scratching your Sim's favourite piece of furniture or their overly priced and paid for leopard-print area rug, you're content on scratching this post till your claws fall off! Your Cat wants to Scratch the Scratching Post.
0x07C45A33F58C4763: Edit Sim Favorites	→	Edit Sim Favourites
0x07D288C717F865C1: There's a lot of stuff in here!  Clicking the couch icon will open up the right catalog. Pick a couch from there.	→	There's a lot of stuff in here! Clicking the couch icon will open up the right catalogue. Pick a couch from there.
0x07DB1C2C484D174A: City Hall was pleased to see the pile of permission slips promptly placed in the mail slot. Your service to the teacher will not be forgotten. Your school performance has increased!	→	City Hall was pleased to see the pile of permission slips promptly placed in the postal slot. Your service to the teacher will not be forgotten. Your school performance has increased!
0x07EE4B1A7250D1C1: Catch {0.Number} types of butterflies to become a Butterfly Collector.  Sims with this title are learned in the ways of the insect and will have an easier time finding beetles and butterflies.	→	Catch {0.Number} types of butterflies to become a Butterfly Collector. Sims with this title are learned in the ways of the insect and will have an easier time finding beetles and butterflies.
0x07F1B48B8AFC54BD: What else do Sims do on a Friday night? Or any night for that matter. Your Sim wants to Go to a Dive Bar. Look for one nearby in Map View.	→	What else do Sims do on a Saturday night? Or any night for that matter. Your Sim wants to Go to a Corner Pub. Look for one nearby in Map View.
0x082B649749193C46: Play Symphony at the Theatre.	→	Play Symphony at the Cinema.
0x0862B9B47673119B: Argyle Sinclair has heard much about your deeds as a logical being and challenges you to a chess match at the Theatre. If you feel bold enough to show up in time, you will find a chess opponent who is as cruel as he is brilliant. Good luck!	→	Argyle Sinclair has heard much about your deeds as a logical being and challenges you to a chess match at the Cinema. If you feel bold enough to show up in time, you will find a chess opponent who is as cruel as he is brilliant. Good luck!
0x08655DA8C2724D98: Colored Popsicle	→	Coloured Popsicle
0x0867414145B9AB45: Visiting your Descendants is a fun and rewarding activity for your Sim to do in the future! You can greet your Descendants, hug them, joke about their household size and worth, and learn about your family history. As your relationship with your Descendant improves, you can even ask to stay over at your Descendant’s home!  	→	Visiting your Descendants is a fun and rewarding activity for your Sim to do in the future! You can greet your Descendants, hug them, joke about their household size and worth, and learn about your family history. As your relationship with your Descendant improves, you can even ask to stay over at your Descendant’s home! 
0x086C6DBEFF27BE42: Honorary Citizen (Level 3)	→	Honourary Citizen (Level 3)
0x086EE0F47A0751AE: Floor with a Rotated Center Square and Four Contrasting Rotated Squares	→	Floor with a Rotated Centre Square and Four Contrasting Rotated Squares
